"","date","depth","mean_do"
"364",2020-01-09,10.5,10.38288020575
"365",2020-01-09,11,10.0946145815
"366",2020-01-09,11.5,9.80634895725
"367",2020-01-09,12,9.518083333
"368",2020-01-09,12.5,9.67226041725
"369",2020-01-09,13,9.8264375015
"370",2020-01-09,13.5,9.98061458575
"371",2020-01-09,14,10.13479167
"372",2020-01-09,14.5,9.87119271075
"373",2020-01-09,15,9.6075937515
"374",2020-01-09,15.5,9.34399479225
"375",2020-01-09,16,9.080395833
"376",2020-01-09,16.5,8.80316406225
"377",2020-01-09,17,8.5259322915
"378",2020-01-09,17.5,8.24870052075
"379",2020-01-09,18,7.97146875
"380",2020-01-09,18.5,7.44259114575
"381",2020-01-09,19,6.9137135415
"382",2020-01-09,19.5,6.38483593725
"383",2020-01-09,20,5.855958333
"384",2020-01-09,20.5,4.4078567705
"385",2020-01-09,21,2.959755208
"386",2020-01-09,21.5,1.5116536455
"387",2020-01-09,22,0.063552083
"388",2020-01-10,1,11.3166666666667
"389",2020-01-10,1.5,11.1133333333333
"390",2020-01-10,2,10.91
"391",2020-01-10,2.5,10.8154600694167
"392",2020-01-10,3,10.7209201388333
"393",2020-01-10,3.5,10.62638020825
"394",2020-01-10,4,10.3521875
"395",2020-01-10,4.5,10.4276302075
"396",2020-01-10,5,10.503072915
"397",2020-01-10,5.5,10.5785156225
"398",2020-01-10,6,10.65395833
"399",2020-01-10,6.5,10.24694791425
"400",2020-01-10,7,9.8399374985
"401",2020-01-10,7.5,9.43292708275
"402",2020-01-10,8,9.025916667
"403",2020-01-10,8.5,9.42584375025
"404",2020-01-10,9,9.8257708335
"405",2020-01-10,9.5,10.22569791675
"406",2020-01-10,10,10.625625
"407",2020-01-10,10.5,10.33252864575
"408",2020-01-10,11,10.0394322915
"409",2020-01-10,11.5,9.74633593725
"410",2020-01-10,12,9.453239583
"411",2020-01-10,12.5,9.62586718725
"412",2020-01-10,13,9.7984947915
"413",2020-01-10,13.5,9.97112239575
"414",2020-01-10,14,10.14375
"415",2020-01-10,14.5,9.85659375
"416",2020-01-10,15,9.5694375
"417",2020-01-10,15.5,9.28228125
"418",2020-01-10,16,8.995125
"419",2020-01-10,16.5,8.58653385425
"420",2020-01-10,17,8.1779427085
"421",2020-01-10,17.5,7.76935156275
"422",2020-01-10,18,7.360760417
"423",2020-01-10,18.5,7.0379869795
"424",2020-01-10,19,6.715213542
"425",2020-01-10,19.5,6.3924401045
"426",2020-01-10,20,6.069666667
"427",2020-01-10,20.5,4.56814062525
"428",2020-01-10,21,3.0666145835
"429",2020-01-10,21.5,1.56508854175
"430",2020-01-10,22,0.0635625
"431",2020-01-11,1,11.2851851851852
"432",2020-01-11,1.5,11.0814814814815
"433",2020-01-11,2,10.8777777777778
"434",2020-01-11,2.5,10.781514660463
"435",2020-01-11,3,10.6852515431481
"436",2020-01-11,3.5,10.5889884258333
"437",2020-01-11,4,10.18769792
"438",2020-01-11,4.5,10.3090026075
"439",2020-01-11,5,10.430307295
"440",2020-01-11,5.5,10.5516119825
"441",2020-01-11,6,10.67291667
"442",2020-01-11,6.5,10.2584687525
"443",2020-01-11,7,9.844020835
"444",2020-01-11,7.5,9.4295729175
"445",2020-01-11,8,9.015125
"446",2020-01-11,8.5,9.4252760425
"447",2020-01-11,9,9.835427085
"448",2020-01-11,9.5,10.2455781275
"449",2020-01-11,10,10.65572917
"450",2020-01-11,10.5,10.3217656275
"451",2020-01-11,11,9.987802085
"452",2020-01-11,11.5,9.6538385425
"453",2020-01-11,12,9.319875
"454",2020-01-11,12.5,9.497953125
"455",2020-01-11,13,9.67603125
"456",2020-01-11,13.5,9.854109375
"457",2020-01-11,14,10.0321875
"458",2020-01-11,14.5,9.80518229175
"459",2020-01-11,15,9.5781770835
"460",2020-01-11,15.5,9.35117187525
"461",2020-01-11,16,9.124166667
"462",2020-01-11,16.5,8.6425989585
"463",2020-01-11,17,8.16103125
"464",2020-01-11,17.5,7.6794635415
"465",2020-01-11,18,7.197895833
"466",2020-01-11,18.5,6.6384635415
"467",2020-01-11,19,6.07903125
"468",2020-01-11,19.5,5.5195989585
"469",2020-01-11,20,4.960166667
"470",2020-01-11,20.5,3.7360026045
"471",2020-01-11,21,2.511838542
"472",2020-01-11,21.5,1.2876744795
"473",2020-01-11,22,0.063510417
"474",2020-01-12,1,11.2537037037037
"475",2020-01-12,1.5,11.0496296296296
"476",2020-01-12,2,10.8455555555556
"477",2020-01-12,2.5,10.7475692515093
"478",2020-01-12,3,10.649582947463
"479",2020-01-12,3.5,10.5515966434167
"480",2020-01-12,4,10.259125
"481",2020-01-12,4.5,10.361296875
"482",2020-01-12,5,10.46346875
